City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Codrington,-38.2667,141.9667,43.41,95,5,7.72,AU,1653241331
Yulara,-25.2406,130.9889,56.19,42,64,7.85,AU,1653241368
Mataura,-46.1927,168.8643,43.79,92,99,7.2,NZ,1653241368
Burayevo,55.8407,55.4083,35.17,90,82,4.25,RU,1653241369
Ahipara,-35.1667,173.1667,59.07,77,100,10.58,NZ,1653241369
Barrow,71.2906,-156.7887,23.02,86,100,11.5,US,1653241369
Marawi,7.9986,124.2928,69.37,95,100,3.76,PH,1653241370
Mandalgovi,45.7625,106.2708,58.12,33,50,8.63,MN,1653241370
Khatanga,71.9667,102.5,32.14,94,100,5.84,RU,1653241319
Kapaa,22.0752,-159.319,75.58,87,40,9.22,US,1653241370
Tshikapa,-6.4167,20.8,74.34,78,90,1.5,CD,1653241371
Ushuaia,-54.8,-68.3,38.86,87,0,4.61,AR,1653241293
Mocuba,-16.8392,36.9856,70.32,80,33,4.41,MZ,1653241371
Kurbnesh,41.7797,20.0836,60.53,83,86,2.51,AL,1653241372
Biu,10.6129,12.1946,90.46,27,47,3.91,NG,1653241373
Hobart,-42.8794,147.3294,47.95,84,100,10.36,AU,1653241374
Japura,-0.3167,102.35,74.71,98,30,2.51,ID,1653241374
Busselton,-33.65,115.3333,61.07,70,86,24.92,AU,1653241375
Puerto Ayora,-0.7393,-90.3518,76.96,77,49,10.65,EC,1653241344
Hithadhoo,-0.6,73.0833,83.89,71,84,12.53,MV,1653241375
Paamiut,61.994,-49.6678,35.04,94,99,24.63,GL,1653241376
Ixtapa,20.7,-105.2,79.83,69,0,10.36,MX,1653241376
Bethel,41.3712,-73.414,86.77,62,0,3.44,US,1653241155
Kaitangata,-46.2817,169.8464,45.75,86,91,13.13,NZ,1653241376
Thompson,55.7435,-97.8558,60.96,31,40,4.61,CA,1653241377
Jamestown,42.097,-79.2353,58.44,94,100,17.27,US,1653241377
Padang,-0.9492,100.3543,77.23,87,87,3.44,ID,1653241378
Casimiro de Abreu,-22.4806,-42.2042,76.91,53,0,7.11,BR,1653241378
Hermanus,-34.4187,19.2345,53.8,85,42,8.3,ZA,1653241379
Dikson,73.5069,80.5464,25.21,92,100,10.31,RU,1653241379
Inyonga,-6.7167,32.0667,70.14,60,55,4.97,TZ,1653241380
Hilo,19.7297,-155.09,72.68,78,0,3.44,US,1653241380
Mandalī,33.7499,45.5541,90.99,8,23,6.38,IQ,1653241381
Pevek,69.7008,170.3133,34.48,89,41,11.12,RU,1653241381
Saint-Philippe,-21.3585,55.7679,71.19,77,44,11.05,RE,1653241381
Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.79,100,75,4.47,RU,1653241382
Albany,42.6001,-73.9662,87.8,50,33,1.01,US,1653241115
Atuona,-9.8,-139.0333,77.38,82,24,17.11,PF,1653241383
Vaini,-21.2,-175.2,73.56,94,20,4.61,TO,1653241383
Chara,56.9064,118.2631,45.19,76,100,1.83,RU,1653241383
Mar del Plata,-38.0023,-57.5575,61.95,57,0,11.5,AR,1653241384
Tuktoyaktuk,69.4541,-133.0374,21.2,79,100,8.05,CA,1653241384
Upington,-28.4478,21.2561,59.38,67,0,4.61,ZA,1653241385
Kailua,21.4022,-157.7394,76.32,76,75,6.91,US,1653241306
Saint-Pierre,-21.3393,55.4781,71.28,73,0,5.75,RE,1653241385
Yellowknife,62.456,-114.3525,34.32,93,100,9.22,CA,1653241226
Vila Velha,-20.3297,-40.2925,76.95,65,75,13.8,BR,1653241386
Faya,18.3851,42.4509,75.72,29,2,4.61,SA,1653241386
Guayaramerín,-10.8368,-65.3614,87.85,51,40,3.44,BO,1653241386
Neftçala,39.3742,49.2472,63.41,80,51,12.57,AZ,1653241387
Castro,-24.7911,-50.0119,66.38,39,2,4.72,BR,1653241388
Bambous Virieux,-20.3428,57.7575,75.45,73,40,12.66,MU,1653241389
Lleida,41.6167,0.6167,90.46,23,0,11.5,ES,1653241390
Port Elizabeth,-33.918,25.5701,57.49,88,0,3.44,ZA,1653241327
Hofn,64.2539,-15.2082,53.62,54,75,14.97,IS,1653241390
Takayama,36.1333,137.25,47.62,95,31,1.23,JP,1653241391
Rikitea,-23.1203,-134.9692,75.9,76,8,13.96,PF,1653241391
Bud,39.447,-86.1758,64.65,67,100,10.71,US,1653241392
Saint Paul Harbor,57.79,-152.4072,47.71,81,100,17.27,US,1653241392
Dalby,-27.1833,151.2667,57.97,88,100,1.01,AU,1653241393
Olafsvik,64.8945,-23.7142,45.25,73,30,11.59,IS,1653241393
Burnie,-41.0667,145.9167,42.94,87,13,5.37,AU,1653241094
Tautira,-17.7333,-149.15,79.34,75,28,14.47,PF,1653241394
Bengkulu,-3.8004,102.2655,76.77,89,85,3.24,ID,1653241394
Aberystwyth,52.4155,-4.0829,55.71,92,99,11.21,GB,1653241394
Richards Bay,-28.783,32.0377,64.56,88,94,18.01,ZA,1653241395
Aranda de Duero,41.6704,-3.6892,68.04,54,70,15.03,ES,1653241395
Qaqortoq,60.7167,-46.0333,36.99,98,100,14.34,GL,1653241396
Butaritari,3.0707,172.7902,81.48,81,100,13.98,KI,1653241396
Punta Arenas,-53.15,-70.9167,41.11,65,20,17.27,CL,1653241397
Pimentel,-6.8367,-79.9342,71.89,60,0,19.57,PE,1653241397
Penzance,50.1186,-5.5371,59.68,91,83,8.86,GB,1653241397
Qaanaaq,77.484,-69.3632,24.84,75,100,2.35,GL,1653241398
Tasiilaq,65.6145,-37.6368,35.76,96,100,6.71,GL,1653241398
Eyl,7.9803,49.8164,81.7,79,89,23.42,SO,1653241399
Ribeira Grande,38.5167,-28.7,66.6,94,75,2.3,PT,1653241399
George Town,5.4112,100.3354,80.31,93,20,2.3,MY,1653241284
Pandan,14.0453,124.1694,79.32,87,99,8.01,PH,1653241400
Rocha,-34.4833,-54.3333,65.62,49,9,4.29,UY,1653241401
Portland,45.5234,-122.6762,62.33,61,51,5.01,US,1653240774
Avarua,-21.2078,-159.775,77.05,94,75,16.11,CK,1653241195
Unaí,-16.3575,-46.9061,82.18,29,14,2.44,BR,1653241401
Kolda,12.8833,-14.95,104.31,20,0,6.91,SN,1653241402
Faanui,-16.4833,-151.75,80.76,71,9,14.09,PF,1653241402
Oranjemund,-28.55,16.4333,56.16,78,7,11.03,NA,1653241403
Tuatapere,-46.1333,167.6833,43.75,83,85,8.61,NZ,1653241403
Paita,-5.0892,-81.1144,73.63,69,2,14.14,PE,1653241403
Vostok,46.4856,135.8833,40.26,96,62,1.81,RU,1653241404
Terme,41.2092,36.9739,60.73,79,0,7.61,TR,1653241404
Cidreira,-30.1811,-50.2056,63.45,63,100,4.45,BR,1653241404
Pacific Grove,36.6177,-121.9166,52.12,87,40,7.0,US,1653241379
